Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Body Battery,Sleep,stress
Running,2024-07-19 10:35:25,false,"Aachen Running","10.00","652","00:57:24","182","197","4.1","161","171","5:44","5:16","73","70","1.08","9.3","10.0","274","5:42","--","--","251","0.0","246","344","9,250","No","00:02:08.6","13","00:57:14","01:01:09","209","224",73,450,17
Running,2024-07-04 17:47:18,false,"Aachen Running","10.00","620","00:52:48","182","197","4.4","163","171","5:17","4:47","10","3","1.16","8.9","10.3","265","5:18","--","--","266","0.0","264","324","8,554","No","00:02:04.1","22","00:52:38","00:54:10","211","217",51,400,20
Running,2024-06-26 17:42:43,false,"Aachen Running","10.00","644","00:56:09","186","199","4.3","164","176","5:37","5:05","2","1","1.08","9.1","9.8","267","5:40","--","--","242","0.0","241","286","9,210","No","00:02:24.6","20","00:55:40","00:58:49","208","211",60,420,25
Running,2024-06-19 17:19:46,false,"Aachen Running","10.01","621","00:53:36","179","195","4.2","163","171","5:21","4:37","3","2","1.14","8.9","10.2","266","5:23","--","--","256","0.0","255","301","8,718","No","00:02:18.7","22","00:53:31","00:54:35","211","215",63,440,14
Running,2024-06-13 18:29:21,false,"Aachen Running","10.01","629","00:53:34","183","194","4.5","161","171","5:21","4:29","2","1","1.16","9.0","10.5","270","5:21","--","--","262","0.0","260","323","8,598","No","00:01:39.6","22","00:53:23","00:53:34","213","217",46,380,37
Running,2024-06-06 18:27:57,true,"Aachen Running","10.04","634","00:51:53","185","209","5.0","161","173","5:10","3:53","1","1","1.20","8.9","10.6","267","5:11","--","--","276","0.0","272","371","8,288","No","00:02:08.7","22","00:51:46","00:55:50","208","211",48,390,41
Running,2024-05-29 17:34:41,false,"Aachen Running","10.02","641","00:54:25","184","201","4.8","161","169","5:26","4:24","6","2","1.13","9.1","10.3","269","5:26","--","--","259","0.0","257","312","8,768","No","00:01:26.6","22","00:54:22","00:55:11","208","214",45,420,52
Running,2024-05-16 18:26:27,false,"Aachen Running","9.35","588","00:50:31","182","197","4.3","163","174","5:24","4:35","6","2","1.13","9.0","10.2","267","5:25","--","--","258","0.0","256","333","8,178","No","00:02:21.3","20","00:50:17","00:50:58","208","212",57,400,32
Running,2024-05-12 12:43:45,false,"Aachen Running","4.67","314","00:24:07","191","208","4.3","163","171","5:10","4:44","10","9","1.18","8.8","10.3","262","5:12","--","--","268","0.0","266","311","3,934","No","00:02:16.7","10","00:23:59","00:24:07","208","212",84,486,12
Track Running,2024-04-28 11:17:30,false,"Aachen Track Running","4,320","334","00:27:24","180","206","4.0","161","178","6:21","3:55","0","0","1.13","9.0","10.2","268","--","--","--","258","0.0","253","403","4,414","No","00:00:15.3","11","00:27:20","00:29:34","153","205",85,480,10
Running,2023-05-07 09:11:00,false,"Prague Running","42.77","2,675","06:21:03","146","183","5.0","137","239","8:55","3:50","139","145","0.82","--","--","--","8:53","--","--","163","0.0","135","392","53,044","No","00:06:39.8","43","06:08:00","06:21:06","188","208",68,350,30
